task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4496	0c/363467	777427	InvokePreparePlotData (4495)	COMPLETED	0	2025-02-07 21:00:31.441	28m 27s	27m 7s	98.3%	551.6 MB	893.1 MB	1.2 GB	98.7 KB
3051	fa/f31a3e	778385	InvokePreparePlotData (3050)	COMPLETED	0	2025-02-07 21:02:59.094	25m 59s	25m 44s	94.8%	516.3 MB	873.5 MB	1.7 GB	39.8 KB
3451	6d/9856ad	778571	InvokePreparePlotData (3450)	COMPLETED	0	2025-02-07 21:03:30.397	25m 28s	25m 23s	91.8%	443.8 MB	785.3 MB	1.9 GB	13.2 KB
4036	f6/463e0c	779026	InvokePreparePlotData (4035)	COMPLETED	0	2025-02-07 21:04:59.778	23m 59s	22m 48s	92.9%	445.6 MB	785.4 MB	396.7 MB	30.1 KB
4304	a4/40644c	779148	InvokePreparePlotData (4303)	COMPLETED	0	2025-02-07 21:05:22.622	23m 36s	21m 32s	95.1%	459.3 MB	813.1 MB	4.9 GB	48.8 KB
2857	72/6f2587	779574	InvokePreparePlotData (2856)	COMPLETED	0	2025-02-07 21:07:01.818	21m 57s	21m 9s	95.7%	486 MB	859.4 MB	1.5 GB	55.3 KB
3519	aa/270b19	779917	InvokePreparePlotData (3518)	COMPLETED	0	2025-02-07 21:08:13.493	20m 45s	15m 50s	94.9%	450.9 MB	799.5 MB	3.1 GB	25.9 KB
3971	1e/abc8aa	780024	InvokePreparePlotData (3970)	COMPLETED	0	2025-02-07 21:08:36.839	20m 22s	18m 4s	92.6%	434.2 MB	782.9 MB	337.8 MB	28.2 KB
4737	95/b4e0f7	780225	InvokePreparePlotData (4736)	COMPLETED	0	2025-02-07 21:09:16.091	19m 42s	18m 45s	93.0%	455.4 MB	800.8 MB	14.1 GB	18.5 KB
2616	dd/a8d987	780278	InvokePreparePlotData (2615)	COMPLETED	0	2025-02-07 21:09:30.256	19m 28s	18m 41s	94.9%	526.5 MB	880.7 MB	1.7 GB	56.9 KB
